Doc,Topic,Dominance,Keywords,Document_Text_Content
10,4,0.9836,"tpa_berhitung, bahasa_inggris, ips, osc, online, matematika, test, cek, diujikan, ipa","['siswa', 'teknik', 'otomasi', 'industri', 'toi', 'smk', 'negeri', 'cimahi', 'sama', 'rexroth_bosch', 'company', 'kompetisi']"
11,0,0.9905,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'kenalkan', 'program_gaspol', 'isi', 'kuliah', 'umum', 'jakarta', 'gesuri', 'calon_presiden', 'pdi', 'perjuangan', 'ganjar', 'pranowo', 'mengenalkan', 'program_gaspol', 'mengisi', 'kuliah', 'umum']"
12,2,0.9842,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['ukdw', 'terima', 'kunjungan', 'seminar', 'pdt', 'harun', 'hadiwijono', 'duta', 'wacana', 'ukdw', 'menerima', 'kunjungan']"
13,3,0.9866,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['adminsaac', 'author', 'saac', 'nusa', 'putra', 'program', 'studi', 'teknik', 'elektro', 'rexroth_bosch', 'company', 'haxathon', 'competition', 'dilaksanakan']"
14,6,0.9873,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'gagas', 'program', 'keluarga_miskin', 'sarjana', 'gagasan', 'ganjar', 'mengisi', 'kuliah', 'umum', 'jawa_barat', 'ganjar']"
15,2,0.9894,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['batik_lasem', 'raih', 'penghargaan', 'seoul', 'new', 'face', 'batik_lasem', 'industry', 'karya', 'tim', 'indonesia', 'menempati', 'posisi', 'pemenang', 'ketiga', 'karya', 'india', 'brasil']"
16,6,0.9873,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['unbothered_queen', 'mahasiswi', 'asyik_makan', 'menarik', 'momen', 'kunjungan', 'calon_presiden', 'ganjar', 'pranowo', 'jawa_barat', 'antusias', 'mahasiwa']"
17,1,0.986,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['program', 'atasi', 'kemiskinan', 'ganjar', 'bangun', 'boarding', 'capres', 'ganjar', 'pranowo', 'kuliah', 'umum', 'radar', 'malang']"
18,5,0.9871,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['rahasia', 'melimpah', 'daun', 'kelor', 'cegah', 'stunting', 'dosen', 'fakultas_kedokteran', 'theresia_monica', 'rahardjo', 'membeberkan', 'formula', 'jitu', 'mengatasi', 'stunting']"
19,0,0.9878,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['detail', 'guru', 'sma_ignatius', 'slamet_riyadi', 'visitasi', 'mpls', 'sma_ignatius', 'slamet_riyadi', 'exploring', 'space', 'selengkapnya', 'profil', 'guru', 'nama']"
20,0,0.9869,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'kota', 'pindah', 'kalimantan', 'jakarta', 'ganjar', 'pranowo', 'kuliah', 'umum', 'halo', 'capres', 'ganjar', 'pranowo']"
21,1,0.986,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['identitas', 'politik', 'muda', 'pendaftar', 'seminar', 'berkesempatan', 'menonton', 'babak', 'final', 'psycompilation', 'national', 'closing', 'performance']"
22,6,0.9898,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['duduk', 'ganjar', 'pranowo', 'mahasiswi', 'cuek', 'bacapres', 'ganjar', 'pranowo', 'mengisi', 'kuliah', 'umum', 'jawa_barat', 'ganjar', 'akun_instagram', 'pribadi']"
23,6,0.8027,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['momen', 'ganjar', 'pranowo', 'dicuekin_mahasiswi', 'ganjar', 'pranowo', 'berkunjung', 'rangka', 'kuliah', 'umum']"
24,0,0.9845,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['pengetahuan_strategi', 'legalitas_bisnis', 'pelaku', 'event', 'pengetahuan_strategi', 'legalitas_bisnis', 'pelaku', 'usaha', 'perkembangan', 'umkm', 'karirmu']"
25,1,0.9799,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'pranowo', 'fokus', 'entaskan_kemiskinan', 'bilang', 'contohnya', 'ganjar', 'kuliah', 'umum']"
26,6,0.9862,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'pranowo', 'dicuekin_mahasiswi', 'kantin', 'video', 'disebarkan', 'akun_instagram', 'dimana', 'situasi', 'ramai', 'kantin']"
27,0,0.9788,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'programkan_keluarga', 'miskin_sarjana', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum']"
28,6,0.9862,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'ganjar', 'pranowo', 'pamer', 'bangun', 'smk', 'gratis', 'lulusannya', 'kerja', 'syahdu', 'wib']"
29,5,0.8203,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['tanggung', 'ganjar', 'pranowo', 'datangi', 'ngecharge', 'energi', 'semangat', 'pemikiran', 'mahasiswanya', 'progresif', 'romantis', 'dikutip']"
30,0,0.9788,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['kelas_karyawan', 'kelas_karyawan', 'informasi', 'kelas_karyawan', 'biaya', 'kuliah', 'karyawan', 'jadwal']"
31,2,0.9888,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['bawa', 'batik_lasem', 'seoul', 'design', 'award', 'maba', 'deklarasi', 'cegah', 'seks', 'bebas', 'karya', 'enak', 'enak', 'kuliah', 'daring', 'terungkap', 'survei']"
32,0,0.9858,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'pranowo', 'bertandang', 'katolik', 'unpar', 'unpar', 'kuliah', 'umum', 'ganjar', 'peran', 'anak', 'muda']"
33,4,0.989,"tpa_berhitung, bahasa_inggris, ips, osc, online, matematika, test, cek, diujikan, ipa","['materi', 'diujikan', 'online', 'test', 'osc', 'cek', 'tpa_berhitung', 'esa', 'unggul', 'matematika', 'ipa', 'ips', 'bahasa_inggris', 'bahasa', 'indonesia', 'bahasa_inggris', 'tpa', 'tpa_berhitung']"
34,3,0.9737,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['pendaftaran', 'ukm', 'kuliah', 'informasi', 'pendaftaran', 'ukm', 'sejarah']"
35,6,0.9848,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'pranowo', 'pendidikan_kunci', 'pemberantasan', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'jawa_barat']"
36,6,0.9883,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['cuciwangi', 'career', 'information', 'outlet', 'cuciwangi', 'berlokas', 'dago', 'kantor', 'bappeda', 'outlet', 'sukabumi', 'location', 'jawa_barat']"
37,6,0.9898,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'pendidikan_kunci', 'utama', 'memberantas', 'kemiskinan', 'ganjar', 'pranowo', 'kuliah', 'umum', 'foto', 'tim', 'media', 'ganjar', 'pranowo', 'radar']"
38,1,0.9849,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'gaspol', 'wong', 'cilik', 'bahagia', 'opini', 'inspirensis', 'ganjar', 'pranowo', 'kuliah', 'umum', 'sumber']"
39,6,0.991,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['drg', 'rivita_siagian', 'janji', 'dokter', 'biaya', 'konsultasi', 'rivita_siagian', 'dokter', 'gigi', 'umum', 'beliau_menamatkan', 'pendidikan', 'kedokteran', 'gigi', 'mulut', 'selengkapnya', 'lokasi']"
40,6,0.9862,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'biarkan', 'jakarta', 'tenggelam', 'pernyataan', 'ganjar', 'salah', 'mahasiswa', 'momen', 'ganjar', 'hadir']"
41,0,0.9878,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'canangkan', 'program', 'keluarga_miskin', 'bacapres', 'ganjar', 'pranowo', 'mengisi', 'kuliah', 'umum', 'foto', 'dok', 'istimewa', 'calon_presiden']"
42,0,0.9811,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['entaskan_kemiskinan', 'ganjar', 'programkan_keluarga', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'kesempatan']"
43,0,0.9788,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'programkan_keluarga', 'miskin_sarjana', 'kuliah', 'umum', 'kesempatan', 'memaparkan', 'ide']"
44,1,0.986,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['sambangi', 'ganjar', 'pranowo', 'sambangi', 'ganjar', 'pranowo', 'kenalkan', 'program_gaspol', 'ganjar', 'ingatkan', 'perempuan', 'menikah', 'related']"
45,6,0.9898,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['unpar', 'lolos', 'seleksi', 'internal', 'lldikti', 'ikuti', 'anugerah', 'peringkat', 'katolik', 'parahyangan', 'peringkat', 'widyatama', 'peringkat_harapan', 'peringkat_harapan', 'institut']"
46,6,0.791,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['berantas', 'kemiskinan', 'ganjar', 'canangkan', 'program', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'jawa_barat']"
47,1,0.9835,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'pemimpin', 'bersih', 'pemberantasan', 'korupsi', 'bacapres', 'ganjar', 'pranowo', 'kuliah', 'umum', 'hadapan_ribuan']"
48,6,0.9812,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ribuan_mahasiswa', 'ganjar', 'tegaskan', 'ganjar', 'pranowo', 'kuliah', 'umum', 'jawa_barat']"
49,3,0.9883,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['data', 'lengkap', 'profil', 'dosen', 'shelly', 'kurniawan', 'ajaran', 'nama', 'matakuliah', 'kelas', 'perguruan', 'genap', 'hukum', 'bisnis', 'hukum', 'perpajakan']"
50,0,0.9869,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['fkg', 'moestopo', 'ramaikan', 'kegiatan', 'international', 'dental', 'baiturrahmah', 'andalas', 'university', 'malaya', 'padjadjaran', 'gadjah', 'mada']"
51,6,0.9873,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'gagas', 'program', 'keluarga_miskin', 'sarjana', 'capres', 'pdip', 'ganjar', 'kuliah', 'umum', 'bagikan', 'calon_presiden']"
52,0,0.983,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['beasiswa', 'oscmedcom', 'ditutup', 'pendaftar', 'ribu', 'atma_jaya_yogyakarta', 'sponsored', 'islam', 'indonesia', 'gajayana']"
53,1,0.9744,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['fakultas_kedokteran', 'selamat', 'artikel', 'kesempatan', 'membahas', 'fakultas_kedokteran', 'ukm']"
54,2,0.9888,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['karya', 'mahasiswa', 'prodi', 'desain', 'mode', 'kriya', 'batik', 'prestasi', 'ditorehkan', 'icha', 'olivia', 'rekan', 'rekan', 'bukti', 'produk', 'dihasilkan', 'mahasiswa']"
55,0,0.9845,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['upaya', 'entaskan_kemiskinan', 'ganjar', 'programkan', 'web', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'republika']"
56,5,0.984,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['business', 'seminar', 'series', 'telkom_university', 'universitan', 'katolik', 'darma', 'cendika', 'terimakasih', 'antusias', 'peserta', 'hadir']"
57,0,0.9878,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['yulius', 'setiadi', 'rumah', 'sakit', 'grha', 'background', 'information', 'kedokteran', 'umum', 'dokter', 'spesialis', 'penyakit', 'sam', 'ratulangi']"
58,1,0.9799,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['biaya', 'kuliah', 'jurusan', 'kedokteran', 'fakultas_kedokteran', 'swasta', 'fakultas_kedokteran', 'swasta', 'berfokus']"
59,5,0.9826,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['eva', 'gustiana', 'psikologi', 'sarjanawiyata', 'tamansiswa', 'psikologi', 'profesi', 'eva', 'psikologi', 'upmk', 'informasi']"
60,6,0.61,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['kuliah', 'umum', 'unkris', 'ganjar', 'pernyataannya', 'kuliah', 'umum', 'jawa_barat', 'ganjar', 'berjanji', 'menggratiskan', 'biaya', 'sekolah']"
61,6,0.9873,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['daftar', 'terbaik', 'kota', 'versi', 'peringkat', 'indonesia', 'peringkat', 'asia', 'didirikan', 'halaman', 'editor', 'nabilah']"
62,6,0.9812,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['entaskan_kemiskinan', 'ganjar', 'programkan_keluarga', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum']"
63,1,0.9849,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['kejadian', 'unik', 'capres', 'ganjar', 'pranowo', 'dimana', 'ganjar', 'pranowo', 'konten', 'promosi', 'lorem', 'ipsum']"
64,6,0.9898,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ardi', 'soeharta', 'chandra', 'aifo', 'program', 'profesi', 'dokter', 'fakultas_kedokteran', 'program', 'pendidikan', 'dokter', 'spesialis', 'ilmu', 'kedokteran', 'fisik']"
65,3,0.9794,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['laman', 'info', 'harga', 'pendaftaran', 'biaya', 'kuliah', 'perguruan', 'swasta', 'berlokasi']"
66,2,0.9842,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['lsp', 'mode', 'indonesia', 'surya_sumantri', 'sukawarna', 'kec', 'sukajadi', 'kota', 'jawa_barat', 'tuk', 'mode', 'negeri']"
67,6,0.9915,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['potret_cantik', 'vissi', 'alexandra', 'profil', 'biodata', 'dokter', 'gigi', 'salah', 'klinik', 'gigi', 'ruko', 'paskal', 'jalan', 'pasir', 'kaliki', 'kota', 'menyelesaikan', 'pendidikan']"
68,5,0.9871,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['cegah', 'stunting', 'gerakkan', 'aksi', 'keluarga', 'kelor', 'stunting', 'dosen', 'fakultas_kedokteran', 'theresia_monica', 'rahardjo', 'meluncurkan', 'buku', 'membeberkan', 'manfaat']"
69,6,0.9118,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['gagasan', 'ganjar', 'pranowo', 'berantas', 'kemiskinan', 'indonesia', 'penolong_upah', 'tulang_punggung', 'keluarganya', 'ganjar', 'mengisi', 'kuliah', 'umum', 'jawa_barat']"
70,6,0.9862,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'gagas', 'program', 'keluarga_miskin', 'sarjana', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'jawa_barat']"
71,5,0.9862,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['hebat', 'kodiklatal', 'raih', 'medali', 'kejuaraan', 'taekwondo', 'alumni', 'jurusan', 'psikologi', 'bertanding', 'nothing', 'lose', 'berusaha', 'semaksimal']"
72,6,0.9891,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['momen', 'mahasiswi', 'cuekin', 'ganjar', 'pranowo', 'asyik', 'suaramerdeka', 'momen', 'menarik', 'ganjar', 'pranowo', 'berkunjung', 'jawa_barat', 'video']"
73,6,0.6976,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['entaskan_kemiskinan', 'ganjar', 'programkan_keluarga', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'infojateng', 'penulis']"
74,1,0.9878,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['razidence', 'pasteur', 'kost', 'campur', 'free', 'kost', 'pasteur', 'berjarak', 'dar', 'itb', 'unpad', 'dipatiukur', 'politeknik', 'kesehatan', 'kemenkes']"
75,3,0.9866,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['nuni', 'online', 'seminar', 'phase', 'information', 'muhammadiyah', 'malang', 'surabaya', 'tema', 'besar', 'information', 'technology', 'shape', 'future']"
76,3,0.9875,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['fasilitas', 'kota', 'parahyangan', 'fasilitas', 'lengkap', 'kota', 'parahyangan', 'sundial', 'puspa', 'iptek', 'taman', 'tematik', 'tatar', 'santo', 'borromeus']"
77,6,0.9848,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'bikin', 'program', 'keluarga_miskin', 'ganjar', 'mengisi', 'kuliah', 'umum', 'jawa_barat', 'mendorong']"
78,1,0.9703,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['perguruan', 'terbaik', 'salah', 'swasta', 'menggabungkan', 'iman']"
79,0,0.991,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['uii', 'kuliah', 'umum', 'peluang', 'berkarir', 'sektor', 'trisakti', 'binus', 'university', 'sthi', 'jentera', 'stie', 'ykpn', 'yogyakarta', 'upn', 'veteran', 'jakarta', 'petra', 'muhammadyah']"
80,0,0.9858,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['project_testimoni', 'project_testimoni', 'festival', 'city', 'link', 'produk', 'crystal', 'coat', 'produk', 'attaboy', 'weatherguard', 'masjid']"
81,3,0.989,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['tanah', 'hook', 'strategis', 'bangun', 'setra', 'duta', 'utara', 'polban', 'gerbang', 'tol', 'pasteur', 'apotek', 'generik', 'pesantren', 'bayar', 'cash', 'diutamakan']"
82,1,0.9878,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'pranowo', 'ajak', 'kalangan', 'muda', 'berpartisipasi', 'unpar', 'ganjar', 'langsung', 'mengunjungi', 'kawasan', 'jalan', 'surya_sumantri', 'acara', 'ganjar']"
83,6,0.9832,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'pendidikan_kunci', 'pemberantasan', 'ganjar', 'hadapan_ribuan', 'mahasiswa', 'kuliah', 'umum', 'jawa_barat']"
84,5,0.9826,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['seminar', 'narasumber', 'eng', 'arwin', 'aminuddin', 'rektor', 'kepala', 'fakultas', 'teknik', 'sipil', 'hasanuddin']"
85,6,0.9898,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'mahfud', 'janji', 'entaskan_kemiskinan', 'ujang', 'jawa_barat', 'laman', 'ganjar', 'pranowo', 'ganjar', 'mahfud', 'kemiskinan', 'mahfud', 'ujang', 'komarudin']"
86,3,0.989,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['consultant', 'profile', 'lukas', 'danny', 'tjitrabudi', 'kom', 'lukas', 'meraih', 'gelar', 'sarjana', 'komputer', 'bidang', 'sistem', 'informasi', 'lukas', 'memilki', 'pengalaman']"
87,4,0.9822,"tpa_berhitung, bahasa_inggris, ips, osc, online, matematika, test, cek, diujikan, ipa","['mayang', 'sari', 'aktif', 'melayani', 'pasien', 'kmnc', 'jatiwaringin', 'pendidikannya', 'beliau_menamatkan', 'pendidikan', 'spesialis']"
88,3,0.9875,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['terima', 'kunjungan', 'mahasiswa', 'pbl', 'kapolsek', 'jatiluhur', 'eksposkriminal', 'purwakarta', 'fakultas_kedokteran', 'melaksanakan', 'pengalaman', 'belajar', 'lapangan', 'pbl', 'uptd']"
89,3,0.9896,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['status', 'konservasi', 'formulasi', 'strategi', 'konservasi', 'jenis', 'jenis', 'economics', 'business', 'conference', 'pengarang', 'kiki', 'farida', 'ferine', 'terbitan', 'inv', 'jenis', 'prosiding']"
90,6,0.9883,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'pranowo', 'siapkan', 'program', 'keluarga_miskin', 'penolong_upah', 'tulang_punggung', 'keluarganya', 'ganjar', 'mengisi', 'kuliah', 'umum', 'jawa_barat']"
91,6,0.9862,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['unbothered_queen', 'mahasiswi', 'asyik_makan', 'jakarta', 'menarik', 'momen', 'kunjungan', 'calon_presiden', 'ganjar', 'pranowo', 'jawa_barat']"
92,1,0.9886,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['tesk', 'baju', 'termahal', 'tesiss', 'argumentasi', 'penegas', 'institut_teknologi', 'padang', 'sekolah', 'bahasa', 'asing', 'lia', 'perguruan', 'swasta', 'pts', 'salah']"
