Position,Organic Position,Searchquery,Device,Title,Description,Pixeldistance from top,Snippet Pixel Height,URL,domain,Sitename,URL Preview,Custom Favicon,Title truncated,Description truncated,Has sitelinks,Has rich results,Has image,location,date,time
11,10,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Universitas Widyatama ""Borong"" Penghargaan Kerja Sama",6 days ago — Peringkat Harapan 1 Universitas Kristen Maranatha Peringkat Harapan 2 Institut Teknologi Nasional Bandung. Hasil penilaian tim juri pada Kategori Kerja Sama ...,2148,117,https://www.widyatama.ac.id/universitas-widyatama-borong-penghargaan-bagian-kerja-sama/,www.widyatama.ac.id,widyatama.ac.id,https://www.widyatama.ac.id › univ...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
12,11,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Pelatihan Guru untuk Tantangan Bebras 2022 di Biro Bebras ...,"by M Ayub · 2023 — Pelatihan Guru untuk Tantangan Bebras 2022 di Biro Bebras Universitas Kristen Maranatha. Mewati Ayub, Oscar Karnalim, Robby Tan, Maresha Caroline Wijanto, Doro ...",2295,117,https://journal.upgris.ac.id/index.php/e-dimas/article/view/14326,journal.upgris.ac.id,upgris.ac.id,https://journal.upgris.ac.id › view,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
13,12,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Siswa Teknik Otomasi Industri (TOI) SMK Negeri 1 Cimahi ...,"5 days ago — ... Universitas Kristen Maranatha, bekerja sama dengan Rexroth Bosch Company. Kompetisi yang berlangsung pada tanggal 25 hingga 28 Oktober 2023 ini bertempat di ...",2442,117,https://www.smkn1-cmi.sch.id/2023/10/28/siswa-teknik-otomasi-industri-toi-smk-negeri-1-cimahi-raih-juara-1-dalam-haxathon-competition-automation-and-industrial-iot/,www.smkn1-cmi.sch.id,smkn1-cmi.sch.id,https://www.smkn1-cmi.sch.id › sis...,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
14,13,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Kenalkan Program Gaspol Saat Isi Kuliah Umum di ...,"Oct 13, 2023 — Jakarta, Gesuri.id - Calon presiden dari PDI Perjuangan, Ganjar Pranowo mengenalkan program Gaspol saat mengisi kuliah umum di Universitas Kristen Maranatha ...",2589,165,https://www.gesuri.id/pemerintahan/ganjar-kenalkan-program-gaspol-saat-isi-kuliah-umum-di-universitas-kristen-maranatha-b2hXUZFAk,www.gesuri.id,gesuri.id,https://www.gesuri.id › pemerintahan,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
15,14,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,UKDW Terima Kunjungan dari Universitas Kristen ...,"Oct 1, 2023 — Bertempat di Ruang Seminar Pdt. Dr. Harun Hadiwijono, Universitas Kristen Duta Wacana (UKDW) menerima kunjungan dari Universitas Kristen Maranatha Bandung ...",2783,139,https://www.demoweb.dutawacana.ac.id/bemu-bpmu-ukdw-terima-kunjungan-dari-universitas-maranatha/,www.demoweb.dutawacana.ac.id,dutawacana.ac.id,https://www.demoweb.dutawacana.ac.id › ...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
16,15,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"AdminSAAC, Author at SAAC - Universitas Nusa Putra","Oct 17, 2023 — Program Studi Teknik Elektro Universitas Kristen Maranatha bersama Rexroth Bosch Company Mengadakan HaXathon Competition 2023. Dilaksanakan pada Rabu, 25 ...",2952,117,https://saac.nusaputra.ac.id/author/adminsaac/,saac.nusaputra.ac.id,nusaputra.ac.id,https://saac.nusaputra.ac.id › author,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
17,16,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Gagas Program Satu Keluarga Miskin Satu Sarjana,"Oct 12, 2023 — Gagasan itu disampaikan Ganjar saat dirinya mengisi kuliah umum di Universitas Kristen Maranatha, Bandung, Jawa Barat, Rabu, 11 Oktober 2023. Ganjar ...",3099,117,https://www.metrotvnews.com/play/N0BCvAq3-ganjar-gagas-program-satu-keluarga-miskin-satu-sarjana,www.metrotvnews.com,metrotvnews.com,https://www.metrotvnews.com › play,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
18,17,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Batik Lasem UK Maranatha Raih Penghargaan Seoul ...,"4 days ago — “The New Face of Batik Lasem Industry” karya tim UK Maranatha, Indonesia menempati posisi pemenang ketiga, bersama dengan lima karya lainnya dari India, Brasil, ...",3246,139,https://www.satuharapan.com/read-detail/read/batik-lasem-uk-maranatha-raih-penghargaan-seoul-design-award,www.satuharapan.com,satuharapan.com,https://www.satuharapan.com › read,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
19,18,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Universitas Kristen Maranatha Archives,"Oct 11, 2023 — Label: Universitas Kristen Maranatha. Pendidikan Jadi Kunci Pemberantasan Kemiskinan. 12 Oktober 2023 @06:25 0. Lorem ipsum dolor.",3415,117,https://suarabaru.id/tag/universitas-kristen-maranatha,suarabaru.id,suarabaru.id,https://suarabaru.id › tag › universit...,yes,FALSE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
20,-,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"SERP Feature | Images for “universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",-,3576,226,-,-,-,-,-,-,-,-,-,-,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
21,19,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Unbothered Queen, Mahasiswi yang Asyik Makan dan ...","Oct 14, 2023 — Ada yang menarik dari momen kunjungan bakal calon presiden Ganjar Pranowo ke Universitas Kristen Maranatha Bandung, Jawa Barat. Di antara antusias mahasiwa ...",3862,117,https://www.liputan6.com/lifestyle/read/5423176/unbothered-queen-mahasiswi-yang-asyik-makan-dan-cuekin-ganjar-pranowo-jadi-sorotan,www.liputan6.com,liputan6.com,https://www.liputan6.com › read,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
22,20,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Browse Author Index,"Oct 3, 2023 — S. Santi, Septhani Santi, Universitas Kristen Maranatha Saputra, Benny Ade, Tourism, art, culture. Saputri, Allen Nur, Universitas Kristen Maranatha Sari ...",4009,117,https://seminar.unmer.ac.id/index.php/sinopsi/senorita4/search/authors?searchInitial=&authorsPage=3,seminar.unmer.ac.id,unmer.ac.id,https://seminar.unmer.ac.id › authors,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
23,21,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Peran Dimensi Productive Parenting Pattern terhadap ...,"Oct 8, 2023 — (1) Universitas Kristen Maranatha (2) Universitas Kristen Maranatha (*) Corresponding Author DOI: https://doi.org/10.26858/talenta.v9i1.48032. Abstract.",4156,117,https://ojs.unm.ac.id/talenta/article/view/48032,ojs.unm.ac.id,unm.ac.id,https://ojs.unm.ac.id › article › view,no,TRUE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
24,22,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Program Atasi Kemiskinan, Ganjar Ingin Bangun Boarding ...",6 days ago — ... Capres Ganjar Pranowo saat memberikan kuliah umum di Universitas Kristen Maranatha Bandung./Radar Malang ...,4303,117,https://www.jawapos.com/politik/013167373/program-atasi-kemiskinan-ganjar-ingin-bangun-boarding-school-gratis-untuk-warga-miskin-di-indonesia,www.jawapos.com,jawapos.com,https://www.jawapos.com › politik,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
25,23,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Rahasia Melimpah Daun Kelor, Cegah Stunting Hingga ...","Oct 19, 2023 — Dosen Fakultas Kedokteran Universitas Maranatha Bandung dr Theresia Monica Rahardjo membeberkan formula jitu yang dapat mengatasi stunting.",4449,117,https://www.detik.com/jabar/berita/d-6990989/rahasia-melimpah-daun-kelor-cegah-stunting-hingga-jadi-sumber-ekonomi,www.detik.com,detik.com,https://www.detik.com › ... › Berita,yes,TRUE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
26,24,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Gunawan, Ika, Universitas Kristen Maranatha","Oct 17, 2023 — Gunawan, Ika, Universitas Kristen Maranatha. Vol 8, No 2 (2021): JMBI UNSRAT Volume 8 Nomor 2 - Articles PENGARUH PENGALAMAN BERBELANJA ONLINE TERHADAP ...",4596,117,https://ejournal.unsrat.ac.id/v2/index.php/jmbi/search/authors/view?firstName=Ika&middleName=&lastName=Gunawan&affiliation=Universitas%20Kristen%20Maranatha&country=,ejournal.unsrat.ac.id,unsrat.ac.id,https://ejournal.unsrat.ac.id › view,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
27,25,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Detail Guru SMA IGNATIUS SLAMET RIYADI,"Oct 10, 2023 — VISITASI KE UNIVERSITAS MARANATHA BANDUNG · MPLS SMA IGNATIUS SLAMET RIYADI T.A 2023 - 2024 \' EXPLORING THE SPACE \'. :: Selengkapnya. Profil Guru. Nama ...",4743,117,http://www.smaslametriyadi-karawang.sch.id/guru.php?id=data&kode=19,www.smaslametriyadi-karawang.sch.id,smaslametriyadi-karawang.sch.id,http://www.smaslametriyadi-karawang.sch.id › ...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
28,26,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Ganjar: Meski Ibu Kota Pindah Kalimantan, Jakarta Tak ...","Oct 11, 2023 — Ganjar Pranowo ketika memberikan kuliah umum di Universitas Kristen Maranatha Bandung, Rabu (11/10/2023). HALO BANDUNG – Capres 2024, Ganjar Pranowo ...",4890,117,https://halosemarang.id/ganjar-meski-ibu-kota-pindah-kalimantan-jakarta-tak-akan-dibiarkan-tenggelam,halosemarang.id,halosemarang.id,https://halosemarang.id › ganjar-me...,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
